,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal
1335,200 EASTERN PKWY,BROOKLYN,4726.0,0,116042353,112776,36047.0,200 EASTERN PKWY BROOKLYN NY 11238-6052,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,111881.0,111896.0,NY,200 EASTERN PKWY,11238-6052,11238.0,A50
2347,255 E 36TH ST,NEW YORK,0.0,400,131182895,52825,36061.0,255 E 36TH ST NEW YORK NY 10016-0000,NEW YORK PRESS PHOTOGRAPHERS ASSN INC,A40,32503.0,63131.0,NY,255 E 36TH ST,10016-0000,10016.0,A40
6869,132 DELANCY ST 2ND FL,NEW YORK,417990.0,879364,203132925,728443,36061.0,132 DELANCY ST NEW YORK NY 10002-3325,AMERICAN ASSOCIATION OF INDEPENDENT MUSIC INC,A68,0.0,882527.0,NY,132 DELANCY ST,10002-3325,10002.0,A68
9572,PO BOX 260001,BELLROSE,0.0,51987,30560682,55145,36081.0,,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,51987.0,NY,,11426-0001,11426.0,A23
11603,NEW YORK TERMINAL MKT RM C27,BRONX,0.0,139348,133071647,139348,36005.0,NEW YORK TERMINAL MKT BRONX NY 10474-0000,KOREAN PRODUCE ASSOCIATION INC,A23,0.0,139348.0,NY,NEW YORK TERMINAL MKT,10474-0000,10474.0,A23
16817,52 VANDERBILT 20TH FL,NEW YORK,0.0,85517,521902671,134194,36061.0,52 VANDERBILT NEW YORK NY 10017-3803,BRITISH-AMERICAN BUSINESS COUNCIL,A23,0.0,85517.0,NY,52 VANDERBILT,10017-3803,10017.0,A23
18666,1000 FIFTH AVENUE,NEW YORK,18505.0,0,131956457,446882,36061.0,1000 FIFTH AVENUE NEW YORK NY 10028-0113,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,451776.0,452104.0,NY,1000 FIFTH AVENUE,10028-0113,10028.0,A50
27542,1 HANOVER SQUARE,NEW YORK,126191.0,0,135156110,1076925,36061.0,1 HANOVER SQUARE NEW YORK NY 10004-2601,INDIA HOUSE INC,A23,247825.0,284743.0,NY,1 HANOVER SQUARE,10004-2601,10004.0,A23
28871,PO BOX 5005,NEW YORK,0.0,0,261164518,548121,36061.0,,WOODFIELD COLUMBIA PIKE ACQUISITION COMPANY,A60,1395760.0,1395810.0,NY,,10163-5005,10163.0,A60
37185,207 CANAL ST FL 3,NEW YORK,0.0,57420,262752840,51315,36061.0,207 CANAL ST NEW YORK NY 10013-4125,CHAO CHIU ASSOCIATION INC,A20,0.0,57420.0,NY,207 CANAL ST,10013-4125,10013.0,A20
37965,10916 JAMAICA AVE,RICHMOND HILL,95408.0,200449,116102176,194330,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,0.0,200449.0,NY,10916 JAMAICA AVE,11418-2334,11418.0,A23
39583,156 WEST 56 TH STREET NO 1804,NEW YORK,0.0,20150,222701258,160885,36061.0,156 WEST 56 TH STREET NO NEW YORK NY 10019-0000,BOOKBINDERS GUILD OF NEW YORK INC,A20,135983.0,156194.0,NY,156 WEST 56 TH STREET NO,10019-0000,10019.0,A20
40077,125 W 55TH ST,NEW YORK,0.0,0,131583260,3883,36061.0,125 W 55TH ST NEW YORK NY 10019-5369,STATION REPRESENTATIVES ASSOCIATION INC,A01,0.0,3180.0,NY,125 W 55TH ST,10019-5369,10019.0,A01
42406,56 W 45TH ST STE 705,NEW YORK,47877.0,0,133211019,360506,36061.0,56 W 45TH ST NEW YORK NY 10036-4215,INDIAN DIAMOND & COLORSTONE ASSOC INC,A23,411400.0,411986.0,NY,56 W 45TH ST,10036-4215,10036.0,A23
45701,630 9TH AVE STE 609,NEW YORK,135377.0,0,330274349,1798832,36061.0,630 9TH AVE NEW YORK NY 10036-3748,PLASA NORTH AMERICA,A01,1323332.0,1658979.0,NY,630 9TH AVE,10036-3748,10036.0,A01
46396,60 E 42ND ST STE 2214,NEW YORK,0.0,0,133341914,70378,36061.0,60 E 42ND ST NEW YORK NY 10165-6232,GRUPPO ESPONENTI ITALIANI INC,A23,111958.0,111958.0,NY,60 E 42ND ST,10165-6232,10165.0,A23
48068,62 BAYARD STREET,NEW YORK,0.0,0,133353621,8560,36061.0,62 BAYARD STREET NEW YORK NY 10013-4938,SU KAI CHIN ASSOCIATION INC,A23,0.0,37268.0,NY,62 BAYARD STREET,10013-4938,10013.0,A23
48141,729 SEVENTH AVENUE 5TH FLOOR,NEW YORK,605750.0,1118303,130951470,7842097,36061.0,729 SEVENTH AVENUE NEW YORK NY 10019-6831,THE BROADWAY LEAGUE INC,A03,7897218.0,9669980.0,NY,729 SEVENTH AVENUE,10019-6831,10019.0,A03
50114,JPMORGAN CHASE BANK NA 1 CHASE,NEW YORK,10000.0,0,133364852,190433,36061.0,JPMORGAN CHASE BANK NA 1 CHASE NEW YORK NY 10005-0000,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,A40,586194.0,586344.0,NY,JPMORGAN CHASE BANK NA 1 CHASE,10005-0000,10005.0,A40
50241,770 BROADWAY 7TH FLOOR,NEW YORK,0.0,0,952786905,358907,36061.0,770 BROADWAY NEW YORK NY 10003-9522,INTERNATIONAL THEATRE EQUIPMENT ASSOCIATION INC,A65,371304.0,372315.0,NY,770 BROADWAY,10003-9522,10003.0,A65
52558,247 W 37TH ST FRNT 5,NEW YORK,53880.0,18328,135493557,123017,36061.0,247 W 37TH ST FRNT NEW YORK NY 10018-5129,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,A23,81020.0,101176.0,NY,247 W 37TH ST FRNT,10018-5129,10018.0,A23
57005,99 PARK AVE RM 1830,NEW YORK,0.0,0,237411166,294736,36061.0,99 PARK AVE NEW YORK NY 10016-1613,LIBERIAN SHIPOWNERS COUNCIL LTD,A23,255106.0,256545.0,NY,99 PARK AVE,10016-1613,10016.0,A23
59689,2038 DAVIDSON AVE,BRONX,0.0,67591,203834646,68103,36005.0,2038 DAVIDSON AVE BRONX NY 10453-4652,LATINO ASSOCIATION OF TAX PREPARERS INC,A23,0.0,67591.0,NY,2038 DAVIDSON AVE,10453-4652,10453.0,A23
59722,432 PARK AVE S FL 6,NEW YORK,4401512.0,0,130417765,8935739,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,ADVERTISING RESEARCH FOUNDATION INC,A03,3921431.0,8931383.0,NY,432 PARK AVE S,10016-8013,10016.0,A03
