,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal
60812,150 W 28TH ST STE 801,NEW YORK,200404.0,213000,133183002,502343,36061.0,150 W 28TH ST NEW YORK NY 10001-6181,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,A23,159255.0,375807.0,NY,150 W 28TH ST,10001-6181,10001.0,A23
60862,205 LEXINGTON AVE RM 901,NEW YORK,150000.0,1505435,136149730,1879863,36061.0,205 LEXINGTON AVE NEW YORK NY 10016-6022,ART DEALERS ASSOCIATION OF AMERICA INC,A03,263325.0,2149466.0,NY,205 LEXINGTON AVE,10016-6022,10016.0,A03
60924,770 BROADWAY 7TH FLOOR,NEW YORK,0.0,0,160876072,155325,36061.0,770 BROADWAY NEW YORK NY 10003-9595,NATO THEATRE OWNERS OF NEW YORK STATE INC,A65,20933.0,-10725.0,NY,770 BROADWAY,10003-9595,10003.0,A65
61357,385 5TH AVE RM 1110,NEW YORK,0.0,25797,133443010,109498,36061.0,385 5TH AVE NEW YORK NY 10016-3340,NATIONAL CHINESE AMERICAN JEWELRY ASSOCIATION INC,A23,37939.0,63767.0,NY,385 5TH AVE,10016-3340,10016.0,A23
63373,536 LAGUARDIA PL,NEW YORK,1388063.0,0,131505524,3745092,36061.0,536 LAGUARDIA PL NEW YORK NY 10012-1401,AMERICAN INSTITUTE OF ARCHITECTS,A40,2445865.0,3756662.0,NY,536 LAGUARDIA PL,10012-1401,10012.0,A40
64319,126 UNIVERSITY PL APT 5,NEW YORK,222058.0,445271,135606408,574886,36061.0,126 UNIVERSITY PL NEW YORK NY 10003-0000,NATIONAL LAWYERS GUILD,A20,124028.0,608293.0,NY,126 UNIVERSITY PL,10003-0000,10003.0,A20
69580,3206 CLARENDON RD,BROOKLYN,14000.0,15600,113216404,128744,36047.0,3206 CLARENDON RD BROOKLYN NY 11226-6418,CARIBBEAN CUP INC,A23,119690.0,135489.0,NY,3206 CLARENDON RD,11226-6418,11226.0,A23
70976,210 11TH AVE RM 1103,NEW YORK,,0,131589984,21426,36061.0,210 11TH AVE NEW YORK NY 10001-1224,WOOLMARK AMERICAS INC,A60,56230.0,56269.0,NY,210 11TH AVE,10001-1224,10001.0,A60
71281,79TH ST AND CENTRAL PARK W,NEW YORK,,0,136117924,112686,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,116058.0,116144.0,NY,79TH ST AND CENTRAL PARK W,10024-0000,10024.0,A50
73819,6 E 87TH ST,NEW YORK,,0,130971750,3311,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,3500.0,3500.0,NY,6 E 87TH ST,10128-0505,10128.0,A6A
74090,41 2ND ST,BROOKLYN,,0,113057468,45634,36047.0,41 2ND ST BROOKLYN NY 11231-4801,BROOKLYN CHAPTER AMERICAN INSTITUTE OF ARCHITECTS,A03,42813.0,78285.0,NY,41 2ND ST,11231-4801,11231.0,A03
80176,1115 W 183 STREET,BRONX,,0,116035621,7387,36005.0,1115 W 183 STREET BRONX NY 10453-0000,COUNCIL OF AMERICAN LATVIAN ORGANIZATIONS OF NEW YORK INC,A23,7588.0,7686.0,NY,1115 W 183 STREET,10453-0000,10453.0,A23
80820,PO BOX 872,NEW YORK,,0,133568008,30795,36061.0,,PRIVATE ART DEALERS ASSOCIATION INC,A03,31300.0,31407.0,NY,,10021-0002,10021.0,A03
80931,1300 MORRIS PARK AVE STE B502,BRONX,,0,510192888,75213,36005.0,1300 MORRIS PARK AVE BRONX NY 10461-1900,NEW YORK OBSTETRICAL SOCIETY INC,A69,78470.0,96790.0,NY,1300 MORRIS PARK AVE,10461-1900,10461.0,A69
81435,PO BOX 660086,FLUSHING,,0,112099939,20908,36081.0,,JAMAICA ESTATES ASSOCIATION INC,A23,11700.0,16998.0,NY,,11366-0086,11366.0,A23
83381,340 W 55TH ST APT 10B,NEW YORK,,86000,352237120,71612,36061.0,340 W 55TH ST NEW YORK NY 10019-3753,MUSIC ACCORD INC,A68,0.0,86000.0,NY,340 W 55TH ST,10019-3753,10019.0,A68
85096,2366 CONEY ISLAND AVENUE,BROOKLYN,,0,112022650,142887,36047.0,2366 CONEY ISLAND AVENUE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,142505.0,142505.0,NY,2366 CONEY ISLAND AVENUE,11223-5002,11223.0,A40
86566,300 E 42ND ST FL 14,NEW YORK,,0,133713216,1231,36061.0,300 E 42ND ST NEW YORK NY 10017-5984,GERMAN-AMERICAN ROUNDTABLE INC,A23,690.0,804.0,NY,300 E 42ND ST,10017-5984,10017.0,A23
92756,319 E 24TH ST APT 16A,NEW YORK,,0,132857251,68695,36061.0,319 E 24TH ST NEW YORK NY 10010-4042,DECORATIVE FABRICS ASSOCIATION INC,A40,59916.0,59916.0,NY,319 E 24TH ST,10010-4042,10010.0,A40
93428,PO BOX 250807,NEW YORK,,0,300379922,14846,36061.0,,ETHIOPIAN EDIR MUTUAL ASSISTANCE ASSOCIATION IN NEW YORK INC,A23,21125.0,27654.0,NY,,10025-1509,10025.0,A23
97049,152 MADISON AVE RM 1702,NEW YORK,,0,42565109,208933,36061.0,152 MADISON AVE NEW YORK NY 10016-5464,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,177623.0,177641.0,NY,152 MADISON AVE,10016-5464,10016.0,A23
100210,400 LAFAYETTE ST FL 4,NEW YORK,,0,136092225,8342,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,3213.0,NY,400 LAFAYETTE ST,10003-6900,10003.0,A40
100428,641 LEXINGTON AVE STE 1430,NEW YORK,,10000,135313975,18060,36061.0,641 LEXINGTON AVE NEW YORK NY 10022-4503,PERUVIAN-AMERICAN ASSOCIATION INC,A23,11218.0,21218.0,NY,641 LEXINGTON AVE,10022-4503,10022.0,A23
101901,79TH ST AND CENTRAL PARK W,NEW YORK,,0,237240585,50140,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,49863.0,49863.0,NY,79TH ST AND CENTRAL PARK W,10024-0000,10024.0,A50
102002,132 NASSAU ST RM 811,NEW YORK,,0,131101367,134870,36061.0,132 NASSAU ST NEW YORK NY 10038-0000,NEW YORK SOCIETY OF ARCHITECTS,A03,114411.0,128311.0,NY,132 NASSAU ST,10038-0000,10038.0,A03
102416,26A DOGWOOD DR,STATEN ISLAND,,38039,133358453,64216,36085.0,26A DOGWOOD DR STATEN ISLAND NY 10312-1608,U S S INTREPID ASSOCIATION INC,A12,27520.0,61637.0,NY,26A DOGWOOD DR,10312-1608,10312.0,A12
107467,2926 UNION ST,FLUSHING,,0,271199435,52225,36081.0,2926 UNION ST FLUSHING NY 11354-2201,KOREAN-AMERICAN PHARMACISTS ASSOCIATION OF NY INC,A23,17550.0,126702.0,NY,2926 UNION ST,11354-2201,11354.0,A23
108066,4534 COURT SQ,LONG IS CITY,,0,136356709,10733,36081.0,4534 COURT SQ LONG IS CITY NY 11101-4301,MOSAIC AND TERRAZZO VACATION FUND,A40,4787.0,7260.0,NY,4534 COURT SQ,11101-4301,11101.0,A40
109733,254 W 35TH ST FL 17,NEW YORK,,100739,133670200,105997,36061.0,254 W 35TH ST NEW YORK NY 10001-0000,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,0.0,100739.0,NY,254 W 35TH ST,10001-0000,10001.0,A23
111864,275 7TH AVENUE ROOM 18TH FL,NEW YORK,,0,130876693,17430,36061.0,275 7TH AVENUE ROOM NEW YORK NY 10001-6708,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,375.0,9095.0,NY,275 7TH AVENUE ROOM,10001-6708,10001.0,A23
111907,45 E 85TH ST,NEW YORK,,0,134218359,137007,36061.0,45 E 85TH ST NEW YORK NY 10028-0957,ASSOCIATION OF ART MUSEUM CURATORS,A50,148502.0,160953.0,NY,45 E 85TH ST,10028-0957,10028.0,A50
112623,C/O45-25 162ND STREET,FLUSHING,,132549,113261970,80954,36081.0,C/O45-25 162ND STREET FLUSHING NY 11358-0000,KOREAN AIR CONDITIONING & REFRIG ASSOC OF NY INC,A23,0.0,133070.0,NY,C/O45-25 162ND STREET,11358-0000,11358.0,A23
112736,44-01 FRANCIS LEWIS BLVD,BAYSIDE,,93400,113383944,89884,36081.0,44-01 FRANCIS LEWIS BLVD BAYSIDE NY 11361-3028,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,A23,0.0,93595.0,NY,44-01 FRANCIS LEWIS BLVD,11361-3028,11361.0,A23
117097,C/O CONSTANTIN ASSOCIATES - 575 MAD,NEW YORK,,58814,133835380,36123,36061.0,C/O CONSTANTIN ASSOCIATES - 575 MAD NEW YORK NY 10022-0000,COMMITTEE OF FRENCH SPEAKING SOCIETIES INC,A23,3000.0,61936.0,NY,C/O CONSTANTIN ASSOCIATES - 575 MAD,10022-0000,10022.0,A23
117375,C/O CONSTANTIN 575 MADISON AVE,NEW YORK,,43000,274105116,86862,36061.0,C/O CONSTANTIN 575 MADISON AVE NEW YORK NY 10022-0000,FRENCH ENTREPRENEURSHIP FRIENDSHIP SOCIETY INC,A23,51250.0,94250.0,NY,C/O CONSTANTIN 575 MADISON AVE,10022-0000,10022.0,A23
117666,1501 BROADWAY,NEW YORK,,0,136976195,0,36061.0,1501 BROADWAY NEW YORK NY 10036-5601,AMERICAN FEDERATION OF MUSICIANS OF THE US & CANADA,A68,0.0,0.0,NY,1501 BROADWAY,10036-5601,10036.0,A68
119302,45 W 14TH ST,NEW YORK,,0,135502139,66148,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,A40,71914.0,71914.0,NY,45 W 14TH ST,10011-7419,10011.0,A40
120154,890 BROADWAY,NEW YORK,,71045,300459786,32710,36061.0,890 BROADWAY NEW YORK NY 10003-1211,ABT DANCERS BENEFIT TR FUND,A62,0.0,71196.0,NY,890 BROADWAY,10003-1211,10003.0,A62
120439,SEAN MCGOVERN 9230 SPRINGFIELD BLVD,QUEENS VILLAGE,,0,131426099,42691,36081.0,SEAN MCGOVERN 9230 SPRINGFIELD BLVD QUEENS VILLAGE NY 11428-0000,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,A23,775.0,21382.0,NY,SEAN MCGOVERN 9230 SPRINGFIELD BLVD,11428-0000,11428.0,A23
122602,2322 STEINWAY ST,ASTORIA,,0,113238845,55544,36081.0,2322 STEINWAY ST ASTORIA NY 11105-1913,A I A QUEENS INC,A40,47958.0,48232.0,NY,2322 STEINWAY ST,11105-1913,11105.0,A40
122912,3 WEST 18TH STREET,NEW YORK,,52358,134017838,59900,36061.0,3 WEST 18TH STREET NEW YORK NY 10011-4610,ASSOCIATION OF MUSIC PRODUCERS INC,A68,0.0,52358.0,NY,3 WEST 18TH STREET,10011-4610,10011.0,A68
126395,35-30 FARRINGTON ST 2FL,FLUSHING,0.0,157148,113212678,152259,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,A23,0.0,157148.0,NY,35-30 FARRINGTON ST,11354-2827,11354.0,A23
127068,27 W 20TH ST STE 601,NEW YORK,0.0,61206,133131629,60595,36061.0,27 W 20TH ST NEW YORK NY 10011-3728,ADVERTISING PHOTOGRAPHER OF AMERICA INC,A40,0.0,61207.0,NY,27 W 20TH ST,10011-3728,10011.0,A40
128698,15711 22ND AVE,WHITESTONE,0.0,5839,133851772,8248,36081.0,15711 22ND AVE WHITESTONE NY 11357-3910,AMICI DI NARO CLUB S CALOGERO INC,A23,0.0,5839.0,NY,15711 22ND AVE,11357-3910,11357.0,A23
132202,484 W 43RD ST APT 45E,NEW YORK,,3900,133047540,4388,36061.0,484 W 43RD ST NEW YORK NY 10036-6327,DANCE FOUNTAIN INC,A62,0.0,3900.0,NY,484 W 43RD ST,10036-6327,10036.0,A62
132375,37 OVERLOOK TER APT 3E,NEW YORK,,9500,201575771,30797,36061.0,37 OVERLOOK TER NEW YORK NY 10033-2214,SELF-HELP ASSOCIATION OF AMERICAN RUSSIAN ELDERLY,A23,18665.0,28165.0,NY,37 OVERLOOK TER,10033-2214,10033.0,A23
137024,243 5TH AVE RM 236,NEW YORK,,10740,132990527,207906,36061.0,243 5TH AVE NEW YORK NY 10016-8703,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,184160.0,195617.0,NY,243 5TH AVE,10016-8703,10016.0,A68
138102,4602 30TH AVE,ASTORIA,,16182,112803536,12390,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,1470.0,16874.0,NY,4602 30TH AVE,11103-1264,11103.0,A23
138752,7254 65TH PL,GLENDALE,0.0,0,113097379,219376,36081.0,7254 65TH PL GLENDALE NY 11385-6930,SERBIAN ASSOCIATION OF NEW YORK INC,A23,75975.0,219376.0,NY,7254 65TH PL,11385-6930,11385.0,A23
138754,,,0.0,1824,113123913,52285,36081.0,,MALTESE CTR INC,A23,12218.0,40570.0,NY,,11102-0000,11102.0,A23
138856,201 E 17TH ST APT 28J,NEW YORK,0.0,1243,133302569,37216,36061.0,201 E 17TH ST NEW YORK NY 10003-3681,NEW YORK DIVISION ELECTRIC RAILROADERS ASSOCIATION,A54,27830.0,29698.0,NY,201 E 17TH ST,10003-3681,10003.0,A54
139375,,Brooklyn,0.0,57824,201925554,56460,36047.0,,AMERICAN CONTEMPORARY MUSIC ENSEMBLE,A6C,0.0,57824.0,NY,,11201-0000,11201.0,A6C
139881,,,0.0,33085,208794205,17789,36047.0,,ASIAN AMERICAN RESTAURANT ASSOCIATION CORP,A23,0.0,33085.0,NY,,11237-0000,11237.0,A23
140096,419 PARK AVENUE SOUTH #12,NEW YORK,0.0,0,223199519,0,36061.0,419 PARK AVENUE SOUTH #12 NEW YORK NY 10016-0000,ASSOC OF INDIAN IN CONSTRUCTION IND INC,A23,0.0,8080.0,NY,419 PARK AVENUE SOUTH #12,10016-0000,10016.0,A23
141154,PO BOX 5005,NEW YORK,0.0,0,261164583,13752,36061.0,,WOODFIELD COLUMBIA PIKE FUNDING COMPANY,A60,1034735.0,1034735.0,NY,,10163-0000,10163.0,A60
146683,2064 DAVIDSON AVE,BRONX,0.0,0,760836320,88855,36005.0,2064 DAVIDSON AVE BRONX NY 10453-3323,GHANAIAN TAXI DRIVERS ASSOCIATION INC,A23,77129.0,85112.0,NY,2064 DAVIDSON AVE,10453-3323,10453.0,A23
146843,,New York,0.0,0,800592772,5314928,36061.0,,KOR CAP PORTFOLIO I FUNDING COMPANY INC,A60,5314928.0,5314928.0,NY,,10167-0000,10167.0,A60
119,7111 5TH AVE,BROOKLYN,36453.0,297532,113604756,243847,36047.0,7111 5TH AVE BROOKLYN NY 11209-1608,ARAB AMERICAN ASSOCIATION OF NY INC,A23,0.0,342813.0,NY,7111 5TH AVE,11209-1608,11209.0,A23
631,167 E 121ST ST,NEW YORK,0.0,65281,133891881,379378,36061.0,167 E 121ST ST NEW YORK NY 10035-3524,UPTOWN DANCE ACADEMY INC,A25,283963.0,380664.0,NY,167 E 121ST ST,10035-3524,10035.0,A25
727,100 OLD SLIP,NEW YORK,410834.0,524040,134000578,897385,36061.0,100 OLD SLIP NEW YORK NY 10005-0000,NEW YORK CITY POLICE MUSEUM,A54,289969.0,1076192.0,NY,100 OLD SLIP,10005-0000,10005.0,A54
835,7522 13TH AVE,BROOKLYN,0.0,154449,421582024,210991,36047.0,7522 13TH AVE BROOKLYN NY 11228-2410,ION THEATER,A65,62536.0,216985.0,NY,7522 13TH AVE,11228-2410,11228.0,A65
990,PO BOX 130192,BROOKLYN,105487.0,320281,237176396,930390,36047.0,,WEST INDIAN AMERICAN DAY CARNIVAL ASSN,A23,646133.0,966422.0,NY,,11213-0192,11213.0,A23
1357,332 BLEECKER ST STE G 36,NEW YORK,0.0,24723,133204608,7586,36061.0,332 BLEECKER ST NEW YORK NY 10014-2980,THEATRETWEED INC,A65,1153.0,25876.0,NY,332 BLEECKER ST,10014-2980,10014.0,A65
1484,1 E 53RD ST FL 8,NEW YORK,245408.0,210277,131997644,640636,36061.0,1 E 53RD ST NEW YORK NY 10022-4233,AMERICAN PLACE THEATRE INC,A65,336894.0,547171.0,NY,1 E 53RD ST,10022-4233,10022.0,A65
1801,20 COOPER SQ,NEW YORK,70000.0,287995,20666545,110199,36061.0,20 COOPER SQ NEW YORK NY 10003-7112,ANNA DEAVERE SMITH WORKS INC,A20,0.0,284034.0,NY,20 COOPER SQ,10003-7112,10003.0,A20
1854,305 7TH AVE FL 17,NEW YORK,6000.0,0,112558552,115871,36061.0,305 7TH AVE NEW YORK NY 10001-6116,BHARATIYA VIDYA BHAVAN USA INC,A23,32964.0,53403.0,NY,305 7TH AVE,10001-6116,10001.0,A23
1931,5 MINERVA PLACE,BRONX,105743.0,220086,237170675,249171,36005.0,5 MINERVA PLACE BRONX NY 10468-1647,BRONX OPERA COMPANY INC,A6A,34491.0,255303.0,NY,5 MINERVA PLACE,10468-1647,10468.0,A6A
2007,520 8TH AVE RM 304,NEW YORK,108836.0,17390,133206848,273694,36061.0,520 8TH AVE NEW YORK NY 10018-8641,LABAN BARTENIEFF INSTITUTE OF MOVEMENT STUDIES INC,A6E,282960.0,312011.0,NY,520 8TH AVE,10018-8641,10018.0,A6E
2273,170 W END AVE,NEW YORK,0.0,35400,133775983,49302,36061.0,170 W END AVE NEW YORK NY 10023-5401,KINDRED SPIRITS FOUNDATION INC,A65,18205.0,53605.0,NY,170 W END AVE,10023-5401,10023.0,A65
2668,1368 FULTON ST,BROOKLYN,390859.0,771075,113334921,951990,36047.0,1368 FULTON ST BROOKLYN NY 11216-0000,EVIDENCE INC,A62,266154.0,1047280.0,NY,1368 FULTON ST,11216-0000,11216.0,A62
3094,317 E 52ND ST,NEW YORK,0.0,11520,133165785,126223,36061.0,317 E 52ND ST NEW YORK NY 10022-6302,AMERICAN SCANDINAVIAN SOCIETY OF NEW YORK INC,A23,100611.0,124526.0,NY,317 E 52ND ST,10022-6302,10022.0,A23
3173,314 W 54TH ST,NEW YORK,34750.0,65960,132977840,192459,36061.0,314 W 54TH ST NEW YORK NY 10019-5102,AMERICAN THEATER OF ACTORS INC,A65,121673.0,187633.0,NY,314 W 54TH ST,10019-5102,10019.0,A65
3200,18 WOOSTER ST,NEW YORK,245282.0,678408,133414346,1105235,36061.0,18 WOOSTER ST NEW YORK NY 10013-2227,SWISS INSTITUTE,A23,592697.0,1342716.0,NY,18 WOOSTER ST,10013-2227,10013.0,A23
3578,140 2ND AVE STE 501,NEW YORK,75626.0,34734,274457450,151311,36061.0,140 2ND AVE NEW YORK NY 10003-8385,SARAH MICHELSON INC,A62,122071.0,156805.0,NY,140 2ND AVE,10003-8385,10003.0,A62
3624,117 EAST 37TH STREET,NEW YORK,0.0,14963,134168862,8761,36061.0,117 EAST 37TH STREET NEW YORK NY 10016-3047,HORIZON THEATRE REP INC,A65,0.0,14963.0,NY,117 EAST 37TH STREET,10016-3047,10016.0,A65
4134,155 W 68TH ST,NEW YORK,6000.0,397545,132994577,257793,36061.0,155 W 68TH ST NEW YORK NY 10023-5808,JUPITER SYMPHONY OF NEW YORK INC,A69,89160.0,520039.0,NY,155 W 68TH ST,10023-5808,10023.0,A69
4536,144 2ND AVE,NEW YORK,97088.0,209259,132874841,216588,36061.0,144 2ND AVE NEW YORK NY 10003-8305,UKRAINIAN CHORUS DUMKA OF AMERICA INC,A6B,0.0,222026.0,NY,144 2ND AVE,10003-8305,10003.0,A6B
4597,47 5TH AVE,NEW YORK,52245.0,119585,135658159,266895,36061.0,47 5TH AVE NEW YORK NY 10003-4679,AMERICAN WATERCOLOR SOCIETY INC,A40,55258.0,242687.0,NY,47 5TH AVE,10003-4679,10003.0,A40
4599,1133 BROADWAY STE 723,NEW YORK,514259.0,1128514,134133410,874100,36061.0,1133 BROADWAY NEW YORK NY 10010-8008,ONLY MAKE BELIEVE INC,A65,0.0,1128850.0,NY,1133 BROADWAY,10010-8008,10010.0,A65
4855,PO BOX 250863,NEW YORK,140634.0,407780,550821968,464178,36061.0,,RED BULL THEATER INC,A65,147857.0,555637.0,NY,,10025-1507,10025.0,A65
4862,149 E 72 ST,NEW YORK,6692.0,65690,132980636,125402,36061.0,149 E 72 ST NEW YORK NY 10021-4328,THE MANHATTAN BALLET CO INC,A63,75199.0,140899.0,NY,149 E 72 ST,10021-4328,10021.0,A63
