,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal,SUBDISCIPLINE
0,549,79TH ST AND CENTRAL PARK W,NEW YORK,,0,237240585,50140,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,49863.0,49863,NY,79TH ST AND CENTRAL PARK W,10024-0000,10024.0,A50,Museums
1,3267,132 NASSAU ST RM 811,NEW YORK,,0,131101367,134870,36061.0,132 NASSAU ST NEW YORK NY 10038-0000,NEW YORK SOCIETY OF ARCHITECTS,A03,114411.0,128311,NY,132 NASSAU ST,10038-0000,10038.0,A03,Professional Societies & Associations
2,3269,255 E 36TH ST,NEW YORK,0.0,400,131182895,52825,36061.0,255 E 36TH ST NEW YORK NY 10016-0000,NEW YORK PRESS PHOTOGRAPHERS ASSN INC,A40,32503.0,63131,NY,255 E 36TH ST,10016-0000,10016.0,A40,Visual Arts
3,3320,26A DOGWOOD DR,STATEN ISLAND,,38039,133358453,64216,36085.0,26A DOGWOOD DR STATEN ISLAND NY 10312-1608,U S S INTREPID ASSOCIATION INC,A12,27520.0,61637,NY,26A DOGWOOD DR,10312-1608,10312.0,A12,Fund Raising & Fund Distribution
4,3350,15711 22ND AVE,WHITESTONE,0.0,5839,133851772,8248,36081.0,15711 22ND AVE WHITESTONE NY 11357-3910,AMICI DI NARO CLUB S CALOGERO INC,A23,0.0,5839,NY,15711 22ND AVE,11357-3910,11357.0,A23,Cultural & Ethnic Awareness
5,3385,1 HANOVER SQUARE,NEW YORK,126191.0,0,135156110,1076925,36061.0,1 HANOVER SQUARE NEW YORK NY 10004-2601,INDIA HOUSE INC,A23,247825.0,284743,NY,1 HANOVER SQUARE,10004-2601,10004.0,A23,Cultural & Ethnic Awareness
6,5536,PO BOX 5005,NEW YORK,0.0,0,261164518,548121,36061.0,,WOODFIELD COLUMBIA PIKE ACQUISITION COMPANY,A60,1395760.0,1395810,NY,,10163-5005,10163.0,A60,Performing Arts
7,16212,340 W 55TH ST APT 10B,NEW YORK,,52500,352237120,79415,36061.0,340 W 55TH ST NEW YORK NY 10019-3753,MUSIC ACCORD INC,A68,0.0,52500,NY,340 W 55TH ST,10019-3753,10019.0,A68,Music
8,18131,152 MADISON AVE RM 1702,NEW YORK,,0,42565109,182225,36061.0,152 MADISON AVE NEW YORK NY 10016-5464,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,182434.0,182442,NY,152 MADISON AVE,10016-5464,10016.0,A23,Cultural & Ethnic Awareness
9,19690,PO BOX 250807,NEW YORK,,0,300379922,41079,36061.0,,ETHIOPIAN EDIR MUTUAL ASSISTANCE ASSOCIATION IN NEW YORK INC,A23,34770.0,34770,NY,,10025-1509,10025.0,A23,Cultural & Ethnic Awareness
10,30417,79TH ST AND CENTRAL PARK W,NEW YORK,,0,136117924,113820,36061.0,79TH ST AND CENTRAL PARK W NEW YORK NY 10024-0000,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,115202.0,115249,NY,79TH ST AND CENTRAL PARK W,10024-0000,10024.0,A50,Museums
11,32095,322 W 48TH ST 3RD FLR,NEW YORK,,0,43191447,54325,36061.0,322 W 48TH ST NEW YORK NY 10036-1308,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,A68,52533.0,52544,NY,322 W 48TH ST,10036-1308,10036.0,A68,Music
12,32421,319 E 24TH ST APT 16A,NEW YORK,,30000,132857251,80829,36061.0,319 E 24TH ST NEW YORK NY 10010-4042,DECORATIVE FABRICS ASSOCIATION INC,A40,74800.0,104800,NY,319 E 24TH ST,10010-4042,10010.0,A40,Visual Arts
13,33812,80A 4TH AVE,BROOKLYN,,114068,455454734,61313,36047.0,80A 4TH AVE BROOKLYN NY 11217-1908,VOCAL-NY ACTION FUND INC,A6B,0.0,114076,NY,80A 4TH AVE,11217-1908,11217.0,A6B,Singing & Choral Groups
14,34955,135 WILLOW ST APT 903,BROOKLYN,,0,133947683,44210,36047.0,135 WILLOW ST BROOKLYN NY 11201-2216,ASSOCIATION OF KOREAN AMERICAN MEDICAL GRADUATES INC,A23,0.0,48165,NY,135 WILLOW ST,11201-2216,11201.0,A23,Cultural & Ethnic Awareness
15,35790,641 LEXINGTON AVE STE 1430,NEW YORK,,0,135313975,14518,36061.0,641 LEXINGTON AVE NEW YORK NY 10022-4503,PERUVIAN-AMERICAN ASSOCIATION INC,A23,16112.0,16112,NY,641 LEXINGTON AVE,10022-4503,10022.0,A23,Cultural & Ethnic Awareness
16,36711,1300 MORRIS PARK AVE STE B502,BRONX,,0,510192888,116040,36005.0,1300 MORRIS PARK AVE BRONX NY 10461-1900,NEW YORK OBSTETRICAL SOCIETY INC,A69,89199.0,89199,NY,1300 MORRIS PARK AVE,10461-1900,10461.0,A69,Symphony Orchestras
17,38137,4602 30TH AVE,ASTORIA,,15660,112803536,9345,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,1470.0,-19216,NY,4602 30TH AVE,11103-1264,11103.0,A23,Cultural & Ethnic Awareness
18,38795,6 E 87TH ST,NEW YORK,,0,130971750,4216,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,3200.0,3200,NY,6 E 87TH ST,10128-0505,10128.0,A6A,Opera
19,39236,400 LAFAYETTE ST FL 4,NEW YORK,,0,136092225,7257,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,1437,NY,400 LAFAYETTE ST,10003-6900,10003.0,A40,Visual Arts
20,41967,PO BOX 872,NEW YORK,,0,133568008,35597,36061.0,,PRIVATE ART DEALERS ASSOCIATION INC,A03,37550.0,50164,NY,,10021-0002,10021.0,A03,Professional Societies & Associations
21,43107,243 5TH AVE RM 236,NEW YORK,,10500,132990527,181628,36061.0,243 5TH AVE NEW YORK NY 10016-8703,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,155922.0,167682,NY,243 5TH AVE,10016-8703,10016.0,A68,Music
22,43396,2926 UNION ST,FLUSHING,,0,271199435,44084,36081.0,2926 UNION ST FLUSHING NY 11354-2201,KOREAN-AMERICAN PHARMACISTS ASSOCIATION OF NY INC,A23,17880.0,40379,NY,2926 UNION ST,11354-2201,11354.0,A23,Cultural & Ethnic Awareness
23,44029,4534 COURT SQ,LONG IS CITY,,0,136356709,10712,36081.0,4534 COURT SQ LONG IS CITY NY 11101-4301,MOSAIC AND TERRAZZO VACATION FUND,A40,5103.0,8743,NY,4534 COURT SQ,11101-4301,11101.0,A40,Visual Arts
24,45735,PO BOX 660086,FLUSHING,,0,112099939,16188,36081.0,,JAMAICA ESTATES ASSOCIATION INC,A23,11970.0,14570,NY,,11366-0086,11366.0,A23,Cultural & Ethnic Awareness
25,46881,2366 CONEY ISLAND AVENUE,BROOKLYN,,0,112022650,154037,36047.0,2366 CONEY ISLAND AVENUE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,150936.0,150936,NY,2366 CONEY ISLAND AVENUE,11223-5002,11223.0,A40,Visual Arts
26,48437,254 W 35TH ST FL 17,NEW YORK,,121478,133670200,125320,36061.0,254 W 35TH ST NEW YORK NY 10001-2504,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,0.0,121478,NY,254 W 35TH ST,10001-2504,10001.0,A23,Cultural & Ethnic Awareness
27,49191,247 W 37TH ST FRNT 5,NEW YORK,,29732,135493557,121046,36061.0,247 W 37TH ST FRNT NEW YORK NY 10018-5129,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,A23,115951.0,145685,NY,247 W 37TH ST FRNT,10018-5129,10018.0,A23,Cultural & Ethnic Awareness
28,51671,44-01 FRANCIS LEWIS BLVD,BAYSIDE,,99034,113383944,125606,36081.0,44-01 FRANCIS LEWIS BLVD BAYSIDE NY 11361-3028,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,A23,0.0,99171,NY,44-01 FRANCIS LEWIS BLVD,11361-3028,11361.0,A23,Cultural & Ethnic Awareness
29,53295,275 7TH AVENUE ROOM 18TH FL,NEW YORK,,0,130876693,19785,36061.0,275 7TH AVENUE ROOM NEW YORK NY 10001-6708,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,1140.0,13911,NY,275 7TH AVENUE ROOM,10001-6708,10001.0,A23,Cultural & Ethnic Awareness
30,53355,1501 BROADWAY,NEW YORK,,0,136976195,0,36061.0,1501 BROADWAY NEW YORK NY 10036-5601,AMERICAN FEDERATION OF MUSICIANS OF THE US & CANADA,A68,0.0,30491,NY,1501 BROADWAY,10036-5601,10036.0,A68,Music
31,53703,890 BROADWAY,NEW YORK,,0,300459786,30666,36061.0,890 BROADWAY NEW YORK NY 10003-1211,ABT DANCERS BENEFIT TR FUND,A62,0.0,189,NY,890 BROADWAY,10003-1211,10003.0,A62,Dance
