,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,ZIP,ZIP5,nteeFinal,SUBDISCIPLINE
0,915,245 PARK AVE,NEW YORK,0,0,10902003,3175515,36061.0,245 PARK AVE NEW YORK NY 10167-0002,PHOENIX CORPORATE TOWER FUNDING COMPANY INC,A60,3175515.0,3175515,NY,245 PARK AVE,10167-0002,10167.0,,Performing Arts
1,916,PO BOX 5005,NEW YORK,0,0,10902004,2492000,36061.0,,CORNERSTONE TERRACE FUNDING COMPANY INC,A60,2492000.0,2492000,NY,,10163-0000,10163.0,,Performing Arts
2,917,PO BOX 5005,NEW YORK,0,0,10902008,2842000,36061.0,,DULLES STATION FUNDING COMPANY INC,A60,2842000.0,2842000,NY,,10163-0000,10163.0,,Performing Arts
3,2650,8347 242ND ST,BELLROSE,0,72618,30560682,54281,36081.0,8347 242ND ST BELLROSE NY 11426-1317,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,72618,NY,8347 242ND ST,11426-1317,11426.0,,Cultural & Ethnic Awareness
4,4091,166 MADISON AVE FL 5,NEW YORK,0,0,42565109,291270,36061.0,166 MADISON AVE NEW YORK NY 10016-5432,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,286078.0,286190,NY,166 MADISON AVE,10016-5432,10016.0,,Cultural & Ethnic Awareness
5,8624,PO BOX 5005,NEW YORK,0,0,61597372,2241019,36061.0,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,7361742.0,7390692,NY,,10163-5005,10163.0,,Performing Arts
6,9462,PO BOX 22,BROOKLYN,129990,0,111195683,637522,36047.0,,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,A23,67658.0,289367,NY,,11222-0022,11222.0,,Cultural & Ethnic Awareness
7,9651,730 BROADWAY,NEW YORK,0,0,111854964,1114131,36061.0,730 BROADWAY NEW YORK NY 10003-9502,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,A40,1420831.0,1522990,NY,730 BROADWAY,10003-9502,10003.0,,Visual Arts
8,9756,2366 CONEY ISLAND AVE,BROOKLYN,0,0,112022650,131755,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,AUTO BODY CRAFTSMENS GUILD INC,A40,135180.0,135180,NY,2366 CONEY ISLAND AVE,11223-5002,11223.0,,Visual Arts
9,10038,1110 BRONX RIVER AVE,BRONX,0,0,112579110,45789,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,40382.0,40382,NY,1110 BRONX RIVER AVE,10472-3102,10472.0,,Theater
10,10127,1401 BLONDELL AVE,BRONX,211957,0,112689446,355411,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECHNICAL,A60,336689.0,336689,NY,1401 BLONDELL AVE,10461-2622,10461.0,,Performing Arts
11,10129,1401 BLONDELL AVE,BRONX,244887,0,112691482,6371254,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,A40,6406293.0,6409355,NY,1401 BLONDELL AVE,10461-2622,10461.0,,Visual Arts
12,10207,4602 30TH AVE,ASTORIA,0,0,112803536,20933,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,0.0,8149,NY,4602 30TH AVE,11103-1264,11103.0,,Cultural & Ethnic Awareness
13,10375,7254 65TH PL,GLENDALE,0,0,113097379,253893,36081.0,7254 65TH PL GLENDALE NY 11385-6930,SERBIAN ASSOCIATION OF NEW YORK INC,A23,83250.0,250847,NY,7254 65TH PL,11385-6930,11385.0,,Cultural & Ethnic Awareness
14,10398,,,0,334,113123913,34046,36081.0,,MALTESE CTR INC,A23,12600.0,39865,NY,,11102,11102.0,,Cultural & Ethnic Awareness
15,10431,PO BOX 2222,NEW YORK,0,0,113163244,8095,36061.0,,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,A23,300.0,1807,NY,,10008-2222,10008.0,,Cultural & Ethnic Awareness
16,10466,35-30 FARRINGTON ST 2FL,FLUSHING,0,233075,113212678,232361,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,A23,0.0,233075,NY,35-30 FARRINGTON ST,11354-2827,11354.0,,Cultural & Ethnic Awareness
17,10468,1324 FLATBUSH AVE,BROOKLYN,12000,0,113216404,119361,36047.0,1324 FLATBUSH AVE BROOKLYN NY 11210-1233,CARIBBEAN CUP INC,A23,115706.0,115706,NY,1324 FLATBUSH AVE,11210-1233,11210.0,,Cultural & Ethnic Awareness
18,10479,,,0,0,113234458,68622,36081.0,,MOVEMENT OF THE CHILDREN DANCENTER INC,A62,67840.0,67840,NY,,11436,11436.0,,Dance
19,10484,8101 FURMANVILLE AVE,MIDDLE VLG,0,0,113238845,52497,36081.0,8101 FURMANVILLE AVE MIDDLE VLG NY 11379-2315,A I A QUEENS INC,A40,17961.0,48855,NY,8101 FURMANVILLE AVE,11379-2315,11379.0,,Visual Arts
20,10496,4503 37TH ST,LONG IS CITY,0,94985,113261970,89052,36081.0,4503 37TH ST LONG IS CITY NY 11101-1801,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,A23,0.0,94985,NY,4503 37TH ST,11101-1801,11101.0,,Cultural & Ethnic Awareness
21,10504,800 FOOD CENTER DR UNIT 96B,BRONX,0,41920,113278319,53517,36005.0,800 FOOD CENTER DR UNIT BRONX NY 10474-0060,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,A23,0.0,41920,NY,800 FOOD CENTER DR UNIT,10474-0060,10474.0,,Cultural & Ethnic Awareness
22,10506,10 ROCKEFELLER PLZ STE 900,NEW YORK,0,0,113281373,132480,36061.0,10 ROCKEFELLER PLZ NEW YORK NY 10020-1903,IRISH AMERICAN BUILDING SOCIETY INC,A23,149766.0,151265,NY,10 ROCKEFELLER PLZ,10020-1903,10020.0,,Cultural & Ethnic Awareness
23,10552,27 04 PARSONS BLVD,FLUSHING,0,94228,113383944,84364,36081.0,27 04 PARSONS BLVD FLUSHING NY 11354-1343,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,A23,0.0,94416,NY,27 04 PARSONS BLVD,11354-1343,11354.0,,Cultural & Ethnic Awareness
24,10603,2227 33RD ST,ASTORIA,0,8995,113477797,144469,36081.0,2227 33RD ST ASTORIA NY 11105-2402,SYLLOGOS KRETON MINOS INC,A23,0.0,115656,NY,2227 33RD ST,11105-2402,11105.0,,Cultural & Ethnic Awareness
25,10985,200 EASTERN PKWY,BROOKLYN,3514,0,116042353,111077,36047.0,200 EASTERN PKWY BROOKLYN NY 11238-6052,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,115164.0,115771,NY,200 EASTERN PKWY,11238-6052,11238.0,,Museums
26,11033,10916 JAMAICA AVE,RICHMOND HILL,100667,0,116102176,216080,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,0.0,214627,NY,10916 JAMAICA AVE,11418-2334,11418.0,,Cultural & Ethnic Awareness
27,11111,432 PARK AVE S FL 6,NEW YORK,3207445,0,130417765,6578858,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,ADVERTISING RESEARCH FOUNDATION INC,A03,6481170.0,6830948,NY,432 PARK AVE S,10016-8013,10016.0,,Professional Societies & Associations
28,11141,50 E 42ND ST RM 506,NEW YORK,0,0,130453215,166432,36061.0,50 E 42ND ST NEW YORK NY 10017-5436,PAINTING & DECORATING CONTRACTORS OF AMERICA,A40,100863.0,91351,NY,50 E 42ND ST,10017-5436,10017.0,,Visual Arts
29,11199,275 7TH AVE 18TH FLR,NEW YORK,0,0,130876693,8710,36061.0,275 7TH AVE NEW YORK NY 10001-6708,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,1965.0,4628,NY,275 7TH AVE,10001-6708,10001.0,,Cultural & Ethnic Awareness
30,11211,6 E 87TH ST,NEW YORK,77426,92000,130971750,126139,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,43582.0,135832,NY,6 E 87TH ST,10128-0505,10128.0,,Opera
