,ZIP,LEN,REVENUE,COMPENSATION,EXPENSES,CONTRIBUTIONS,PROGREVENUE
87,10178.0,0.0,0.0,0.0,0.0,0.0,0.0
88,10199.0,0.0,0.0,0.0,0.0,0.0,0.0
89,10270.0,0.0,0.0,0.0,0.0,0.0,0.0
90,10271.0,1.0,211968.0,80620.0,194724.0,206388.0,5516.0
91,10278.0,0.0,0.0,0.0,0.0,0.0,0.0
92,10279.0,0.0,0.0,0.0,0.0,0.0,0.0
93,10280.0,4.0,10234628.0,4089359.0,15367207.0,8272599.0,485665.0
94,10281.0,1.0,1041943.0,297823.0,544246.0,1041943.0,0.0
95,10282.0,2.0,231916.0,132185.0,203580.0,87591.0,144325.0
96,10301.0,15.0,7406931.0,2723765.0,7413896.0,4419553.0,2512729.0
97,10302.0,0.0,0.0,0.0,0.0,0.0,0.0
98,10303.0,2.0,147625.0,0.0,152978.0,54436.0,93189.0
99,10304.0,3.0,79496.0,0.0,92504.0,20226.0,52495.0
100,10305.0,3.0,283957.0,0.0,272191.0,236301.0,29201.0
101,10306.0,2.0,446218.0,0.0,549723.0,186110.0,273792.0
102,10307.0,0.0,0.0,0.0,0.0,0.0,0.0
103,10308.0,1.0,82788.0,0.0,116591.0,82788.0,0.0
104,10309.0,0.0,0.0,0.0,0.0,0.0,0.0
105,10310.0,0.0,0.0,0.0,0.0,0.0,0.0
106,10311.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10312.0,4.0,109102.0,0.0,107769.0,85467.0,27520.0
108,10314.0,4.0,554805.0,95051.0,581059.0,92166.0,447601.0
109,10451.0,8.0,3954879.0,643733.0,2932994.0,3969600.0,171454.0
110,10452.0,2.0,367421.0,110755.0,341479.0,360805.0,1250.0
111,10453.0,2.0,124482.0,0.0,166768.0,81997.0,4462.0
112,10454.0,2.0,291759.0,114651.0,290794.0,162157.0,129600.0
113,10455.0,1.0,461363.0,0.0,626546.0,0.0,461363.0
114,10456.0,3.0,8171045.0,3517114.0,8712546.0,7119606.0,747687.0
115,10457.0,0.0,0.0,0.0,0.0,0.0,0.0
116,10458.0,1.0,611919.0,307008.0,575592.0,260486.0,351433.0
117,10459.0,0.0,0.0,0.0,0.0,0.0,0.0
118,10460.0,1.0,520248.0,234937.0,505250.0,497211.0,22926.0
119,10461.0,6.0,2537646.0,685438.0,2085687.0,2202707.0,272800.0
120,10462.0,2.0,31941.0,0.0,15174.0,31939.0,0.0
121,10463.0,6.0,1664248.0,444395.0,1705751.0,781867.0,882381.0
122,10464.0,5.0,1004005.0,170069.0,902332.0,334431.0,440909.0
123,10465.0,1.0,87876.0,18140.0,39503.0,62385.0,3574.0
124,10466.0,4.0,33001.0,0.0,29897.0,28955.0,2995.0
125,10467.0,4.0,2028597.0,73846.0,918501.0,1804907.0,179665.0
126,10468.0,3.0,2443144.0,605714.0,2707742.0,798226.0,1368765.0
127,10469.0,0.0,0.0,0.0,0.0,0.0,0.0
128,10470.0,1.0,686347.0,0.0,652661.0,254197.0,418000.0
129,10471.0,3.0,193357.0,0.0,179228.0,55440.0,138605.0
130,10472.0,2.0,43544.0,0.0,60451.0,18697.0,24841.0
131,10473.0,0.0,0.0,0.0,0.0,0.0,0.0
132,10474.0,1.0,147095.0,0.0,147095.0,147095.0,0.0
133,10475.0,1.0,880.0,0.0,0.0,880.0,0.0
134,11004.0,1.0,450.0,0.0,1782.0,450.0,0.0
135,11101.0,21.0,16885600.0,6103052.0,18875718.0,8994799.0,7126225.0
136,11102.0,4.0,174672.0,0.0,194532.0,24527.0,146113.0
137,11103.0,7.0,167118.0,0.0,193135.0,143784.0,58443.0
138,11104.0,9.0,14293888.0,6478351.0,15392698.0,10277748.0,2439544.0
139,11105.0,12.0,1446109.0,188471.0,1425980.0,1167753.0,110823.0
140,11106.0,9.0,15152708.0,5043506.0,12710113.0,10970993.0,1230305.0
141,11109.0,0.0,0.0,0.0,0.0,0.0,0.0
142,11201.0,41.0,54957159.0,15149150.0,55443759.0,31964055.0,21070008.0
143,11203.0,5.0,3316422.0,2023955.0,3235605.0,3014129.0,278802.0
144,11204.0,2.0,155677.0,0.0,166367.0,43947.0,105589.0
145,11205.0,7.0,1115035.0,90707.0,971699.0,372218.0,572237.0
146,11206.0,6.0,902167.0,184068.0,918325.0,573190.0,94524.0
